Better,Worse,
S33,S08,
S15,S34,
S18,S34,
S33,S19,
S07,S31,
S20,S37,
S22,S31,
S15,S35,
S08,S19,
S33,S29,
S29,S31,
S08,S29,
S33,S08,
S15,S17,
S20,S35,
S20,S16,
S16,S11,
S08,S31,
S18,S09,
S08,S34,
S08,S28,
S07,S30,
S33,S14,
S20,S40,
S37,S35,
S25,S14,
S25,S09,
S07,S22,
S15,S11,
S33,S08,
S25,S16,
S22,S40,
S19,S29,
S32,S20,
S18,S28,
S25,S40,
S18,S15,
S09,S34,
S11,S31,
S33,S34,
S07,S09,
S20,S34,
S18,S17,
S09,S11,
S31,S30,
S28,S40,
S18,S36,
S20,S22,
S19,S11,
S29,S37,
S07,S19,
S18,S37,
S32,S35,
S08,S37,
S08,S16,
S15,S37,
S18,S40,
S08,S14,
S25,S15,
S08,S35,
S33,S22,
S17,S11,
S28,S29,
S25,S11,
S36,S09,
S11,S34,
S20,S31,
S07,S15,
S25,S29,
S32,S22,
S25,S32,
S36,S35,
S20,S11,
S09,S31,
S37,S40,
S25,S34,
S16,S17,
S29,S17,
S07,S14,
S36,S22,
S36,S28,
S18,S11,
S32,S34,
S22,S34,
S33,S28,
S25,S20,
S32,S11,
S33,S17,
S07,S34,
S28,S34,
S36,S29,
S33,S40,
S22,S37,
S18,S29,
S18,S20,
S17,S35,
S09,S35,
S29,S34,
S18,S16,
S25,S17,
