Better,Worse,
B3,F4,
F3,F1,
A4,B5,
A5,A4,
A5,A2,
A3,B4,
A4,F2,
B3,F1,
B3,B5,
A3,F5,
B2,F3,
B2,F4,
A3,F2,
A5,F5,
A5,B5,
A5,F4,
A3,F4,
A5,B2,
B5,F1,
F5,F4,
A1,F1,
A2,A1,
A5,B4,
B1,B4,
B1,F1,
A3,F1,
B4,F2,
B1,A1,
A5,F3,
B5,F4,
A2,F4,
A3,F3,
A4,F3,
B1,A2,
B4,B2,
B4,F3,
B1,F3,
A3,A1,
B4,F1,
A2,B2,
A2,F1,
A3,B5,
B5,F2,
F5,F1,
F5,F3,
A2,B4,
A5,A1,
A5,B3,
B1,F5,
B2,F2,
A2,F5,
A2,F2,
B4,F4,
B1,F4,
F5,F2,
A1,F3,
A5,F1,
B3,F2,
A4,B2,
A4,B3,
B1,B2,
A4,F1,
A2,F3,
A3,B3,
F3,F2,
B3,F5,
B3,F3,
A4,A1,
A4,F4,
A5,A3,
A4,F5,
B2,F1,
A1,F2,
A1,F4,
B1,F2,
A3,B2,
A5,F2,
B5,F3,
F4,F1,
