Better,Worse,
B004,C002,
H004,I003,
H002,I003,
F004,F003,
H005,I003,
B003,C005,
I003,C004,
C004,C001,
I005,C004,
B004,C005,
I004,C004,
H004,B002,
H002,B002,
I005,H004,
H005,B002,
B004,C001,
H002,C002,
F004,H005,
F003,I003,
F003,C003,
B004,C004,
C004,C002,
I004,I003,
F004,I004,
I005,I003,
I002,C003,
C001,B001,
I005,C001,
H005,B003,
H004,I002,
I002,C002,
F004,C004,
B003,I002,
H004,B004,
H005,C001,
I004,C005,
F001,B001,
F001,B002,
F001,C002,
H005,F003,
F003,B002,
B003,C001,
F003,C005,
F004,I002,
H004,C001,
I003,C005,
B003,B002,
I002,B001,
I005,B004,
C002,C003,
F001,I002,
F004,B004,
I005,C002,
B003,C004,
I005,B003,
H005,H002,
F001,H005,
I003,B001,
C004,B001,
H002,C001,
F003,C001,
F001,H002,
I005,C003,
C001,C003,
H004,B003,
C004,C003,
F003,C004,
F004,H004,
C002,B002,
C002,B001,
I005,H005,
I003,C002,
H004,C004,
H002,B001,
I003,I002,
H004,C002,
F001,I004,
F001,I003,
I003,C003,
H004,C005,
I005,F003,
I005,H002,
C005,C003,
F001,C004,
F004,F001,
I004,F003,
H005,B001,
F004,B003,
B004,B001,
I004,B002,
C005,C002,
I004,C002,
I005,C005,
F001,C005,
I003,B002,
C005,B002,
I004,C003,
F004,C005,
I004,I002,
H004,C003,
H002,I004,
I005,I004,
H005,C004,
H004,F003,
B003,C002,
B004,F003,
C005,B001,
I005,F001,
C001,C002,
H005,B004,
F004,B001,
F001,C001,
I004,C001,
F004,I003,
F003,C002,
F003,B003,
F004,C002,
F004,C003,
I004,B001,
I004,B003,
B002,C003,
H005,C005,
H004,I004,
H002,C004,
B003,B001,
F004,C001,
H005,C003,
F004,B002,
H002,B003,
H005,H004,
C004,B002,
F001,C003,
H004,H002,
B004,B002,
B004,B003,
I002,C001,
B001,C003,
I005,B002,
H004,B001,
H002,C005,
H005,C002,
F001,H004,
C001,B002,
B004,I003,
H005,I002,
B003,C003,
F004,H002,
B004,C003,
F003,I002,
I005,I002,
F003,B001,
H002,I002,
I005,B001,
H005,I004,
I002,B002,
F001,B003,
I003,C001,
H002,C003,
B004,I002,
F001,B004,
F004,I005,
B004,I004,
H002,F003,
C005,C001,
F001,F003,
