Better,Worse,
E002,I003,
F002,G001,
H003,E003,
F003,D005,
D002,G003,
F002,G005,
F001,D004,
D001,G003,
F001,D001,
E004,I001,
G004,D001,
G005,D005,
E004,D004,
I002,D004,
F004,G004,
F003,G002,
F004,G001,
H003,H001,
F004,E001,
H005,H001,
E003,I001,
F002,H001,
I005,E001,
I004,D002,
I002,E001,
H003,H005,
E005,I003,
E002,G001,
E002,D004,
G004,D002,
H005,H004,
E005,D003,
G005,G004,
D002,I003,
F003,E002,
H003,E004,
F005,E003,
F005,H001,
F005,I005,
F005,E002,
I002,I003,
E004,E001,
F002,I005,
F001,H004,
H003,E002,
H004,G003,
E001,D005,
D002,D001,
I005,D001,
E005,G002,
F005,F001,
I002,I001,
F003,I001,
G002,D005,
H005,G003,
F002,F004,
G004,G002,
E002,D005,
H005,D002,
G005,G002,
E002,E005,
H004,D004,
H005,I001,
F004,G002,
E005,D002,
H003,G002,
H003,G003,
E004,D005,
E003,G001,
F005,F004,
H005,E001,
I003,G003,
H001,D004,
E002,I005,
I003,D003,
F005,D005,
I001,G003,
E001,D001,
I004,G004,
F001,H005,
E002,E004,
F005,E004,
F004,E003,
E001,G001,
G004,I005,
D001,D004,
H003,D004,
F002,E005,
G004,E002,
D001,G001,
F004,H005,
I004,G001,
G005,D004,
F004,G005,
E003,H001,
F005,D004,
F003,G001,
G005,E004,
E005,H001,
F003,D002,
E002,D001,
H003,H004,
I005,I003,
I002,G004,
E002,H001,
F003,H005,
H004,G001,
G002,D004,
E005,D005,
F005,G003,
H004,I001,
F002,E003,
I001,D005,
G005,D002,
H004,E001,
F005,D001,
F003,E003,
F003,H004,
I002,E002,
F005,G005,
E005,D004,
E004,D002,
I004,E001,
F002,D002,
F002,D003,
E005,G003,
D002,D003,
F002,D001,
G004,I001,
F004,H001,
I002,E004,
F002,D004,
F001,I003,
G002,E001,
G005,I003,
F005,I002,
G005,E001,
G002,I001,
I005,G001,
E005,D001,
G005,G003,
I003,D005,
G004,D005,
I001,H001,
D005,D003,
H005,E004,
I005,G003,
E005,E001,
F002,I002,
H003,E005,
F004,D001,
D002,E001,
I002,D003,
I004,D005,
H005,E003,
I004,H001,
F005,I001,
F005,I004,
F001,E001,
F004,D002,
G004,E001,
F002,F001,
G004,I003,
F002,E004,
G005,I001,
G005,H004,
H003,G005,
E003,D004,
E003,D001,
G004,E003,
H005,D001,
H003,G001,
G004,E004,
H005,E005,
I003,D001,
F003,I004,
I005,D002,
F002,H005,
H005,D005,
F003,E005,
F004,E004,
H003,E001,
I001,G001,
G004,H001,
I004,E005,
G004,H004,
F002,G004,
E003,I003,
F003,I005,
F002,G002,
I004,E003,
F001,G004,
I005,D004,
F004,D005,
I002,G003,
I002,G002,
F002,I004,
I004,I001,
F005,H004,
F004,I003,
F001,D005,
G005,H005,
F004,I001,
H004,D001,
I002,G001,
F004,D003,
F004,I004,
I001,D004,
G002,D003,
I003,H001,
F001,G002,
H003,F004,
H003,F001,
I002,I005,
F002,H004,
F004,I005,
I005,G002,
E004,H001,
G005,D003,
H005,G001,
I001,D001,
F003,E001,
F004,H004,
D002,G001,
G002,G001,
G004,D004,
F002,D005,
D002,D005,
H003,D003,
G004,D003,
D005,D001,
E003,D005,
E004,G003,
I005,D005,
H003,I001,
G002,G003,
H001,G003,
F001,G005,
E004,I003,
F004,G003,
D002,H001,
E005,G001,
E003,G002,
H005,G002,
I005,I001,
I004,E002,
I004,H005,
H004,H001,
F001,E004,
H004,I003,
E002,D002,
E003,G003,
I004,D004,
I002,E005,
E003,D003,
F005,E001,
F003,H003,
F005,F002,
F001,G001,
I002,D002,
E004,D001,
F005,H005,
F005,G001,
D002,I001,
F003,G005,
I001,D003,
H003,D005,
F002,H003,
E003,D002,
F001,I001,
H003,D001,
I004,G003,
H005,I003,
E001,H001,
F005,D002,
E001,D004,
G005,D001,
I005,D003,
F002,E002,
G003,D004,
G004,G003,
H004,D005,
F003,D003,
I002,H004,
F003,E004,
F003,D001,
I004,I003,
F001,I002,
E002,E001,
H003,I005,
D005,G001,
E003,E001,
H001,G001,
F003,G003,
D005,H001,
F001,D003,
F004,E002,
E002,G002,
I005,H001,
F001,E002,
E004,D003,
I004,I005,
E001,D003,
I004,D001,
G005,E003,
F005,I003,
G005,E002,
H004,D002,
G005,I005,
G001,D004,
D003,G001,
H005,I005,
G004,E005,
H005,D004,
I004,G002,
F005,E005,
I002,H005,
G002,H001,
G005,G001,
G002,D001,
F001,D002,
F001,I005,
F003,F004,
H005,E002,
D002,D004,
F002,I001,
E002,E003,
F001,G003,
G004,G001,
E002,H004,
I003,D004,
F005,H003,
D005,G003,
I003,G001,
I002,D001,
G002,I003,
G005,E005,
H004,G002,
F002,G003,
F005,D003,
F001,E003,
H003,D002,
F003,H001,
I004,D003,
E004,G002,
I002,H001,
H003,G004,
E002,G003,
E002,I001,
E001,G003,
F003,F002,
H003,I004,
D003,D004,
I004,H004,
I002,D005,
F004,E005,
H003,I003,
H005,D003,
E002,D003,
E005,I001,
F005,G002,
F002,E001,
F005,G004,
F002,I003,
G005,H001,
F003,G004,
I002,E003,
F001,E005,
H004,D003,
H003,I002,
D005,D004,
F003,I002,
F003,D004,
F004,I002,
E004,G001,
I004,E004,
F001,I004,
F003,F001,
D003,G003,
F004,D004,
F001,H001,
F003,I003,
